Cattle_ID,Milk_Yield_L
1,18.015679071457594
2,10.060923627647066
3,20.699336196368407
4,15.375700226604138
5,17.099052447931555
6,18.98790747417348
7,13.947125857934829
8,17.237700373569442
9,19.33990316083634
10,13.146889541993236
11,14.488747151761213
12,15.281748564843479
13,19.10506837536667
14,14.289813713663555
15,16.296952758835435
16,12.07067521301441
17,15.969767604700426
18,13.121417885904465
19,14.64881417175645
20,12.897488643598464
21,12.344137022558801
22,20.458686971966507
23,16.11535162312631
24,11.289332515178739
25,18.479992908807994
26,14.247470021736602
27,18.00998658131012
28,13.15614912942294
29,13.669630549416548
30,14.746019851029084
31,14.937526577213886
32,18.294212816221922
33,12.677684664823598
34,14.807395013076459
35,9.105410784954165
36,13.713624140172747
37,16.306094882586454
38,10.99655192031945
39,15.839895851831951
40,13.647176304047493
41,16.173301206160687
42,16.76911983394404
43,12.882137505877647
44,17.543137152585633
45,10.816377362324575
46,12.05326193734222
47,19.218753591428186
48,19.011691886864842
49,15.445487376015675
50,8.21131708165333
51,14.92977321212273
52,11.70496797565891
53,20.13009281207863
54,17.065016456889204
55,16.693097040442616
56,16.807787068384414
57,16.2677389983722
58,13.387231928831524
59,11.672624553906026
60,14.811381894631904
61,16.409942305852887
62,16.43358932551576
63,23.608562606472027
64,16.032441267279474
65,16.068686458893534
66,16.401726021437376
67,15.339071062666132
68,20.34731450778472
69,19.133910059187663
70,11.384297909426618
71,14.14554386482953
72,20.768676568664908
73,15.187446739299503
74,14.780855502387533
75,14.93961400197337
76,11.14420114394584
77,12.329208985835045
78,18.514954970282897
79,14.68891951337921
80,15.39366642836286
81,16.261877512999785
82,15.428214712221322
83,17.965315920153337
84,16.377968927485366
85,11.118777758464933
86,15.301780849024269
87,16.58813113852001
88,15.132880197164647
89,18.16268893658235
90,16.4591655144514
91,13.80630253130703
92,14.2325148006292
93,13.031611666851747
94,16.73414653191557
95,19.09122030792696
96,10.712838425344735
97,13.408853243719124
98,15.60123818975356
99,18.420224717632646
100,19.003535016779303
101,10.654126494354578
102,18.467129323837405
103,7.324204957334199
104,14.48609706987439
105,12.456832618495127
106,15.988516692053649
107,13.376509830082021
108,17.306613172004283
109,14.270003403228595
110,24.01363254222148
111,19.158237974623013
112,17.17636472084676
113,7.344516144903276
114,15.358321045413332
115,20.438459184238972
116,16.45462836316324
117,11.239955099087783
118,17.520512983558145
119,14.321014877556621
120,13.083580646201874
121,12.985866537033491
122,9.901365635926318
123,14.628836717459873
124,17.813707984706813
125,17.456760389768213
126,17.579914564588556
127,18.594927768225958
128,21.195801321505954
129,11.81728995771259
130,13.9198085769172
131,11.584025564205543
132,13.64679399805518
133,16.156901052080578
134,17.94625397213366
135,14.404811677677593
136,19.490575336852018
137,15.786360594307656
138,13.163235248772573
139,17.90452585427587
140,20.62970814313525
141,14.831349556531533
142,18.2490064522278
143,13.492570875335106
144,13.11861848344346
145,10.836403477567742
146,11.335341293293201
147,18.952959020417044
148,10.44355250581757
149,13.078720232269617
150,13.327135443167581
151,18.255510898177796
152,13.456800014169115
153,14.336385295882767
154,14.347764090347583
155,17.508125052895743
156,13.20550660185323
157,12.273885460298708
158,18.581623203652548
159,12.490464809506348
160,17.509322755347036
161,17.95750166287512
162,15.459104648021107
163,15.991092649483674
164,11.14545147312127
165,16.206943315315662
166,16.708881636036423
167,18.868881788429945
168,15.452241428088307
169,21.34520356676699
170,17.78710186499619
171,16.948910357036915
172,14.94835164016924
173,10.563236263159343
174,18.09719768234472
175,10.754604742757135
176,10.652486085133749
177,16.233933165276913
178,12.500698083922202
179,13.624896930528353
180,17.477794555180765
181,18.545592691553786
182,12.372691039845364
183,11.69766787001043
184,14.561482915262683
